Kecamatan,Tidak/Belum Sekolah,Belum Tamat SD,Tamat SD,SLTP,SLTA,D1 dan D2,D3,S1,S2,S3
Sukasari,2275,1173,1900,1648,3735,108,469,1633,288,43
Sukasari,3850,2038,2068,2450,6924,348,1280,3662,640,115
Sukasari,2412,1289,1740,1608,4073,120,502,1557,205,60
Sukasari,4525,2462,2137,2545,8416,380,1703,4503,633,84
Coblong,1820,1055,1121,1406,4494,58,399,1200,103,25
Coblong,1722,980,925,1221,4000,65,498,1431,166,20
Coblong,4315,2461,2199,3297,10262,206,1014,2645,225,27
Coblong,5824,3094,3702,4051,12237,203,1172,3715,571,180
Coblong,4526,2409,2413,3190,10023,180,947,2867,357,54
Coblong,670,352,418,506,1488,35,144,343,24,6
Babakan Ciparay,5962,3748,6542,5672,9417,193,581,1576,80,7
Babakan Ciparay,5654,3537,6436,5360,7631,185,716,1353,85,11
Babakan Ciparay,5427,3434,6395,5544,8370,154,455,1281,79,6
Babakan Ciparay,4053,2474,3781,3493,5762,179,674,2156,201,19
Babakan Ciparay,2117,1343,2449,2145,3246,74,196,573,47,3
Babakan Ciparay,2062,1202,2654,1848,2882,76,230,617,73,8
Bojongloa Kaler,5863,3238,4733,4813,9629,276,775,1818,145,17
Bojongloa Kaler,5415,2792,4827,4935,9344,205,508,1039,48,7
Bojongloa Kaler,4953,2769,4241,4578,9290,229,567,1293,83,6
Bojongloa Kaler,2969,1596,2235,2627,5501,158,411,896,45,2
Bojongloa Kaler,3639,1903,2863,3041,6213,204,474,1171,107,15
Andir,3332,1913,2060,3013,7355,79,566,1559,75,8
Andir,3254,1891,2206,2765,6807,88,485,1290,82,9
Andir,3723,2100,2636,3310,6821,81,328,943,41,8
Andir,1630,966,1150,1645,4440,50,290,1302,75,7
Andir,1731,1000,915,1446,3945,79,383,1049,66,3
Andir,3066,2059,2123,2831,6391,83,486,1323,121,10
Cicendo,2754,1545,1971,2352,5969,162,549,1052,113,15
Cicendo,1885,1016,1055,1550,4954,233,605,1544,166,15
Cicendo,4242,2560,3569,3752,9002,289,809,1618,168,28
Cicendo,1248,743,738,1140,3374,138,468,1192,153,15
Cicendo,1105,619,560,802,2885,155,413,1173,137,17
Cicendo,3894,2298,2388,3078,8104,278,900,2346,359,47
Sukajadi,2825,1696,1700,2232,6299,224,858,2132,276,46
Sukajadi,4911,3221,4017,4439,9981,304,1052,1777,162,24
Sukajadi,2430,1477,2002,1794,4068,175,546,1568,236,28
Sukajadi,2975,1991,2849,2368,5066,176,571,2159,348,55
Sukajadi,3444,2330,2904,3176,7137,213,792,1562,137,13
Cidadap,3252,1768,2250,2407,7306,247,757,1962,211,36
Cidadap,4264,2225,4117,3039,7333,165,618,1478,200,48
Cidadap,1892,958,1242,1223,3671,89,274,1250,144,22
Bandung Wetan,502,293,116,197,1023,59,338,1253,296,43
Bandung Wetan,3451,2160,1939,2506,8769,296,915,2146,257,50
Bandung Wetan,228,151,71,145,607,33,121,699,160,40
Astanaanyar,2290,1340,1206,1837,4746,105,495,1451,95,9
Astana Anyar,2078,1217,1529,1905,4123,99,339,840,46,4
Astana Anyar,925,523,430,911,2420,47,229,1088,39,2
Astana Anyar,1259,759,1157,1275,2410,33,175,438,29,1
Astana Anyar,2070,1232,1512,1912,4857,88,450,1120,59,6
Astana Anyar,3662,2066,2281,2978,7070,170,539,1518,114,6
Regol,1793,930,643,1201,4124,224,712,2197,210,33
Regol,1743,979,765,1164,3652,121,701,2291,276,31
Regol,1024,590,470,893,2977,130,395,962,75,6
Regol,1277,707,468,993,3375,54,316,1072,72,10
